NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10000797,"I think we could also stand to improve decisions around headcount.  I know we're doing our best to optimize what we have and improve systems so we don't need as many people, but some departments are drowning in work and utilizing contractors instead of staff.  That has to be expensive.  Plus, it's on work that doesn't go away.  It seems as if there is more attention paid to those departments that directly support Operators, which I do understand.  However, if we keep growing those groups and not the staff that support all of us, then we're still in a deficit.",33,2,53,,,,,,,
10000798,Trendy decisions based on feedback that slightly go against our values/goals.,98,,,,,,,,,
10000799,"We don't look to consolidate functions across the business.  We have many staff across the business doing similar functions (e.g. purchasing, sourcing, project mgmt)",98,,,,,,,,,
10000800,Individual team restructuring and related position re-leveling,5,57,,,,,,,,
10000801,How to contract with software suppliers,98,,,,,,,,,
10000802,REF,99,,,,,,,,,
10000803,REF,99,,,,,,,,,
10000805,REF,99,,,,,,,,,
10000807,REF,99,,,,,,,,,
10000808,REF,99,,,,,,,,,
10000809,What products to roll out to the business,98,,,,,,,,,
10000811,slow on implementing needs on corporate side,13,,,,,,,,,
10000812,REF,99,,,,,,,,,
10000813,Continuing to engage talent on a personal level as we get bigger.,2,,,,,,,,,
10000814,"We need to have a framework for reference for cross-functional work that is not project-based with a lead facilitator to provide clarity as to who has the ""D"" when questions/issues come up and what are there qualifications that would align the ""D"" to a certain level of leadership.  We currently have a culture of consensus  and CFA Nice where staff tend to hesitate to step out and call the ""D"".",7,15,,,,,,,,
10000815,REF,99,,,,,,,,,
10000816,"Job Levels. In the most recent re-org, I noticed Employee A left a role at one level and Employee B was promoted to THAT SPECIFIC ROLE but leveled beneath where Employee A had been. Same job, different level. This type of thing erodes the trust staff has placed in the talent management system. We were told job levels were to be determined entirely by the job itself (rather than the person), but in practice, that is not true.",2,5,,,,,,,,
10000817,Decisions where there isn't a single person/group accountable (i.e. staff headcount),2,,,,,,,,,
10000818,Deciding to implement projects BEFORE having required employees in place to do the work.,98,,,,,,,,,
10000822,REF,99,,,,,,,,,
10000825,tension/who owns the decision type decisions.  too collaborative.  have to get 8 people to say yes to something and if one person says no it is a no.,71,,,,,,,,,
10000826,CFA seems to me to be a consensus driven organization. I feel like we wait until everyone agrees before we move forward on an endeavor instead of getting the right level of authority at the table for decision making.,15,,,,,,,,,
10000827,Standardization (Guidelines as well as rules) regarding documents and the way we work.,98,,,,,,,,,
10000828,REF,99,,,,,,,,,
10000829,"what does stewardship look like from an accountability perspective? We all want to be good stewards of what's been entrusted to us, but we have different ideas for what that looks like, because accountability at an enterprise level is not clear.",12,,,,,,,,,
10000830,REF,99,,,,,,,,,
10000832,REF,99,,,,,,,,,
10000834,I think they need to re-think the goal to have staff work in the office a set average number of days.  It really needs to be up to the staff member to determine where they can get their work done in the most efficient manner.,98,,,,,,,,,
10000836,"Contractor involvement, EX:  when a contractor can / can't be included.  Culturally it is difficult to not treat them as all other staff.",7,33,,,,,,,,
10000837,REF,99,,,,,,,,,
10000838,"Reporting- sometimes I think we are such a 'Dashboard' heavy company that we lose sight of what value or key decisions are being derived from a Dashboard; in other words, how does the input that goes into creating a Dashboard weigh relative to the value output (are people actually using the Dashboard?)",98,,,,,,,,,
10000839,REF,99,,,,,,,,,
10000840,REF,99,,,,,,,,,
10000842,REF,99,,,,,,,,,
10000843,Improve Hiring practice at a faster pace,3,,,,,,,,,
10000844,Expanding too much too fast.,54,,,,,,,,,
10000845,Lack of response in staff surveys that say many feel they don't have time for personal development in current state of work.,98,,,,,,,,,
10000848,Promotions - decisions are not consistent and take too long.,3,61,,,,,,,,
10000849,REF,99,,,,,,,,,
10000850,Growth.  How can we scale properly for growth across the business in every area?,54,,,,,,,,,
10000851,"Hiring staff faster.  It takes an act of Congress to even get staff approved. I can appreciate that lean mentality to prevent unnecessary hires, but there are so many interviewers involved, it takes forever to get the position filled. Talent is struggling to catch up from Covid. They need help to get staffing needs filled.",2,72,13,34,,,,,,
10000853,REF,99,,,,,,,,,
10000854,REF,99,,,,,,,,,
10000855,REF,99,,,,,,,,,
10000858,REF,99,,,,,,,,,
10000859,REF,99,,,,,,,,,
10000860,REF,99,,,,,,,,,
10000863,Decisions regarding the titling structure and levels. There is much confusion surrounding promotion and moving to the next level.,3,5,57,,,,,,,
10000865,REF,99,,,,,,,,,
10000866,"Decisions made around  communication to be sent out. Communication gets scrutinized vigorously, and at several levels of the hierarchy.",8,36,,,,,,,,
10000867,Ability to work from home,98,,,,,,,,,
10000868,REF,99,,,,,,,,,
10000869,"Staff-related decisions. For example, more notice of exact dates for required staff events.",98,,,,,,,,,
10000870,Decisions that are highly cross-functional is another area where improvement is needed.  This is a difficult area since it may impact many areas which can create slow-down and many different opinions.,13,,,,,,,,,
10000872,"JCCC is SUCH an incredible benefit to employees and I know that it is one of the biggest pulls for talent recruiting at CFA. However, now that we are (finally!) being given the option to work from home for a majority of the time (and avoid horrible traffic and a long commute-yay!), many of us would prefer a childcare stipend to put our children in a daycare that is close to our home. This would avoid us having our children in the car for 1.5+ hours every single day to get them to/from daycare and would allow parents to actually take advantage of the WFH opportunity.",47,2,20,,,,,,,
10000873,"Technology- decision to provide necessary technology for returning to the Support Center, such as double monitors and video conferencing in all meeting rooms",6,,,,,,,,,
10000874,CFA needs to cast vision and inspire throughout all levels of leadership,70,,,,,,,,,
10000875,REF,99,,,,,,,,,
10000876,"People hiring. The hiring process is so long that we have open positions to fill for months on end. This adds to the workload of everyone else on the job and can lead to burnout. If adequate resources were invested in the hiring process for each individual, we could move through the stages much faster.",42,13,,,,,,,,
10000879,REF,99,,,,,,,,,
10000880,Generally speaking there is a need to clarify decision ownership where staff underneath the EC meet often with lack of clarity. Possibly there could be a clearer process for how escalation happens should agreement not end up being possible.,98,,,,,,,,,
10000881,"Tension between rapid ""scrappy"" tools and ability to scale and automate. Neither is bad on it's own, but we sometimes act like there aren't tensions and tradeoffs to be made.  Which do we want? What tradeoffs are we willing to accept because of that?  For example, if we want speed and scrappy tools for a new entity, we'll need more headcount because those tools are manual and take man hours to support.  If we want ability to build a system or tool or process that scales with a large multi-national enterprise, we need to trust those closest to the work to estimate the resources and timeline options available.",28,32,2,49,13,41,,,,
10000882,REF,99,,,,,,,,,
10000885,Define when to stop a project or body of work,98,,,,,,,,,
10000886,"People who do not travel making decisions for people who do travel.   Example:  The expense app.  It is terrible.  CWT, I know we save money but it is terrible.",98,,,,,,,,,
10000887,"Chick-fil-A should expand the Enterprise Innovation team so that all departments at the Support Center are focused on building a culture of innovation.  An innovation process will help us execute business decisions faster and more efficiently.  A culture of innovation will help us see where the puck needs to go (how guests want to be served conveniently, quickly and safely) rather than where the puck is going (not letting the QSR industry show where the puck is going).",7,66,52,13,,,,,,
